repo                   category                      status    title                                                       evidence                                                                                    fix                                                                                       
---------------------  ----------------------------  --------  ----------------------------------------------------------  ------------------------------------------------------------------------------------------  ------------------------------------------------------------------------------------------
jesus                  codex_feedback                fixed     Codex review feedback issue                                 Triggered Codex after rollout/security/lint fixes via ggg pr codex-trigger --wait-for-auto  Merged PR #7 with merge commit 6ed5e5ef06b6080815293a2af78571cb698d1729 after ggg ready/co
jesus                  general_rollout               fixed     General rollout issue or notable event                      merged with merge commit 6ed5e5ef06b6080815293a2af78571cb698d1729                           merged with merge commit 6ed5e5ef06b6080815293a2af78571cb698d1729                         
jesus                  glazed_lint                   fixed     Glazed CLI policy or analyzer issue                         Added glazed-lint + publish-docs.                                                           Added glazed-lint + publish-docs.                                                         
jesus                  govulncheck                   observed  Go vulnerability scan issue                                 Upgraded go directive from 1.26.1 to 1.26.3 to fix govulncheck stdlib findings.             Pushed security/lint rollout fix d9b55191; local govulncheck/gosec or lint validations pas
jesus                  local_validation              fixed     Local validation issue                                      pass: GOWORK=off go test ./...                                                              pass: GOWORK=off go test ./... —                                                          
jesus                  logcopter_generation          fixed     Logcopter generation/check issue                            Starting B5 logcopter baseline work locally.                                                pass: make logcopter-check —                                                              
jesus                  workflow_yaml                 fixed     GitHub workflow structure or main workflow execution issue  Updated CI workflows to match go-template canonical: setup-go@v6 + go-version-file, golang  Verified post-merge main Go/lint/security rollout workflows succeeded; unrelated secret sc
openai-mock-server     codex_feedback                fixed     Codex review feedback issue                                 Triggered Codex after rollout/security/lint fixes via ggg pr codex-trigger --wait-for-auto  Merged PR #2 with merge commit 6fc0902a768906ca797bbef362b6f2e6ea190371 after ggg ready/co
openai-mock-server     general_rollout               fixed     General rollout issue or notable event                      merged with merge commit 6fc0902a768906ca797bbef362b6f2e6ea190371                           merged with merge commit 6fc0902a768906ca797bbef362b6f2e6ea190371                         
openai-mock-server     glazed_lint                   observed  Glazed CLI policy or analyzer issue                         Opened glazed-lint + publish-docs PR.                                                                                                                                                 
openai-mock-server     gosec                         fixed     GoSec security scan issue                                   Main lint+test pass. Dependency scanning failures are pre-existing (gosec Go version, Nanc  Stabilized dependency scanning/gosec rollout checks and pushed cb5ff85e; local gosec passe
openai-mock-server     govulncheck                   fixed     Go vulnerability scan issue                                 Upgraded go directive from 1.25.0 to 1.26.3 to fix govulncheck stdlib findings.             Removed unavailable Nancy/Dependency Review gates while keeping govulncheck and gosec bloc
openai-mock-server     local_validation              fixed     Local validation issue                                      pass: GOWORK=off go test ./...                                                              pass: GOWORK=off go test ./... —                                                          
openai-mock-server     logcopter_generation          fixed     Logcopter generation/check issue                            Starting B5 logcopter baseline work locally.                                                pass: make logcopter-check —                                                              
openai-mock-server     release_or_main_verification  fixed     Release or post-merge main verification issue               Tagged v0.0.2.                                                                              released v0.0.2                                                                           
