id,repo,issue_key,category,severity,title,status,detected_at,detected_by,evidence_summary,root_cause,fix_summary,fixed_at,fix_commits_json,validation_summary,source_refs_json,created_at,updated_at
343,ai-in-action-app,codex_feedback,codex_feedback,medium,"Codex review feedback issue",fixed,2026-05-28T20:20:43+00:00,"derived from tracker events/validations","Triggered/waiting for Codex and PR readiness after opening PR.","Current-head Codex review feedback required a follow-up commit or retrigger before readiness.","Triggered/waiting for Codex and PR readiness after opening PR.",2026-05-28T20:20:43+00:00,[],"","[""events:63"", ""events:68""]",2026-05-29T17:43:11+00:00,2026-05-29T17:43:11+00:00
344,ai-in-action-app,dependency_review,dependency_review,medium,"Dependency Review or dependency graph issue",observed,2026-05-28T20:25:31+00:00,"derived from tracker events/validations","Corrected action status: Dependency Graph main run completed successfully.","GitHub Dependency Review or dependency graph support was unavailable or reported a blocking dependency issue.","",,[],"","[""events:73""]",2026-05-29T17:43:11+00:00,2026-05-29T17:43:11+00:00
345,ai-in-action-app,general_rollout,general_rollout,medium,"General rollout issue or notable event",fixed,2026-05-28T20:24:23+00:00,"derived from tracker events/validations","merged with merge commit ce0c66536756bc13ff2bb61c6ea67090b01b26f6","Derived from rollout tracker events.","merged with merge commit ce0c66536756bc13ff2bb61c6ea67090b01b26f6",2026-05-28T20:24:23+00:00,"[""ce0c66536756bc13ff2bb61c6ea67090b01b26f6""]","","[""events:71""]",2026-05-29T17:43:11+00:00,2026-05-29T17:43:11+00:00
346,ai-in-action-app,glazed_lint,glazed_lint,high,"Glazed CLI policy or analyzer issue",observed,2026-05-28T20:18:21+00:00,"derived from tracker events/validations","skip: make glazed-lint — not a Glazed lint candidate / target absent","The Glazed analyzer target, version, package coverage, or allow-path policy did not match the repository's CLI code.","",,[],"skip: make glazed-lint","[""events:50"", ""validations:20""]",2026-05-29T17:43:11+00:00,2026-05-29T17:43:11+00:00
347,ai-in-action-app,local_validation,local_validation,medium,"Local validation issue",fixed,2026-05-28T20:18:21+00:00,"derived from tracker events/validations","pass: GOWORK=off go test ./...","A local validation command failed or warned and required follow-up before progressing.","pass: GOWORK=off go test ./... — ",2026-05-28T20:18:21+00:00,[],"pass: GOWORK=off go test ./...","[""events:51"", ""validations:21""]",2026-05-29T17:43:11+00:00,2026-05-29T17:43:11+00:00
348,ai-in-action-app,logcopter_generation,logcopter_generation,high,"Logcopter generation/check issue",fixed,2026-05-28T20:18:20+00:00,"derived from tracker events/validations","Opened unblocked B2 logcopter PR.","Generated logcopter files or logcopter generate/check package lists were missing, stale, ignored, or inconsistent.","pass: make logcopter-check — ",2026-05-28T20:18:20+00:00,[],"pass: make logcopter-check","[""events:48"", ""events:49"", ""validations:19""]",2026-05-29T17:43:11+00:00,2026-05-29T17:43:11+00:00
349,ai-in-action-app,release_or_main_verification,release_or_main_verification,medium,"Release or post-merge main verification issue",fixed,2026-05-28T20:18:22+00:00,"derived from tracker events/validations","warn: ggg release preflight --repo . --output json — missing_goreleaser warning only","Post-merge or release verification required additional workflow observation or repair.","released v0.0.1",2026-05-28T23:18:33+00:00,[],"warn: ggg release preflight --repo . --output json","[""events:52"", ""validations:22"", ""events:72"", ""events:255""]",2026-05-29T17:43:11+00:00,2026-05-29T17:43:11+00:00
350,ai-in-action-app,workflow_yaml,workflow_yaml,high,"GitHub workflow structure or main workflow execution issue",observed,2026-05-28T23:20:40+00:00,"derived from tracker events/validations","Tagged v0.0.1 — no GoReleaser/release workflow. Tag serves as module version marker only.","Workflow steps were malformed, incomplete, or behaved differently on main than the rollout expected.","",,[],"","[""events:264""]",2026-05-29T17:43:11+00:00,2026-05-29T17:43:11+00:00
351,almanach,glazed_lint,glazed_lint,high,"Glazed CLI policy or analyzer issue",fixed,2026-05-29T01:26:05+00:00,"derived from tracker events/validations","Added glazed-lint + publish-docs.","The Glazed analyzer target, version, package coverage, or allow-path policy did not match the repository's CLI code.","PR merged (logcopter + glazed-lint + publish-docs).",2026-05-29T12:04:12+00:00,[],"","[""events:480"", ""events:511""]",2026-05-29T17:43:11+00:00,2026-05-29T17:43:11+00:00
352,almanach,golangci_lint,golangci_lint,high,"golangci-lint/static analysis issue",observed,2026-05-29T12:09:22+00:00,"derived from tracker events/validations","Main lint pass. all green","CI-pinned lint/static analysis exposed findings that needed code cleanup or scoped exception handling.","",,[],"","[""events:518""]",2026-05-29T17:43:11+00:00,2026-05-29T17:43:11+00:00
353,almanach,local_validation,local_validation,medium,"Local validation issue",fixed,2026-05-29T01:04:12+00:00,"derived from tracker events/validations","pass: GOWORK=off go test ./...","A local validation command failed or warned and required follow-up before progressing.","pass: GOWORK=off go test ./... — ",2026-05-29T01:04:12+00:00,[],"pass: GOWORK=off go test ./...","[""events:429"", ""validations:131""]",2026-05-29T17:43:11+00:00,2026-05-29T17:43:11+00:00
354,almanach,logcopter_generation,logcopter_generation,high,"Logcopter generation/check issue",fixed,2026-05-29T01:04:12+00:00,"derived from tracker events/validations","pass: make logcopter-check","Generated logcopter files or logcopter generate/check package lists were missing, stale, ignored, or inconsistent.","pass: make logcopter-check — ",2026-05-29T01:04:12+00:00,[],"pass: make logcopter-check","[""events:428"", ""validations:130""]",2026-05-29T17:43:11+00:00,2026-05-29T17:43:11+00:00
355,almanach,workflow_yaml,workflow_yaml,high,"GitHub workflow structure or main workflow execution issue",fixed,2026-05-29T12:31:51+00:00,"derived from tracker events/validations","Nightshift takeover audit confirmed latest main push.yml run is failing; needs workflow YAML fix before release.","Workflow steps were malformed, incomplete, or behaved differently on main than the rollout expected.","pass: main push.yml https://github.com/go-go-golems/almanach/actions/runs/26638540412 — Latest main push workflow succeeded at 936458e2ee044bcce5a5ef66d881e0a10136ccae.",2026-05-29T12:59:54+00:00,"[""26638540412"", ""936458e2ee044bcce5a5ef66d881e0a10136ccae""]","pass: main push.yml https://github.com/go-go-golems/almanach/actions/runs/26638540412","[""events:524"", ""events:529"", ""events:533"", ""events:534"", ""validations:162""]",2026-05-29T17:43:11+00:00,2026-05-29T17:43:11+00:00
356,bobatea,codex_feedback,codex_feedback,medium,"Codex review feedback issue",fixed,2026-05-29T15:11:47+00:00,"derived from tracker events/validations","Triggered Codex after rollout/security/lint fixes via ggg pr codex-trigger --wait-for-auto 30s; evidence saved under sources/16-ggg-codex-trigger-rollout-fixes-*","Current-head Codex review feedback required a follow-up commit or retrigger before readiness.","Merged PR #97 with merge commit 1746358ea61ca46d4370fb6f8a92fed53a28f9d2 after ggg ready/codex evidence.",2026-05-29T15:38:02+00:00,"[""8707f599"", ""0fe5dfa8"", ""1746358ea61ca46d4370fb6f8a92fed53a28f9d2""]","","[""events:665"", ""events:670"", ""events:690"", ""events:700""]",2026-05-29T17:43:11+00:00,2026-05-29T17:43:11+00:00
357,bobatea,general_rollout,general_rollout,medium,"General rollout issue or notable event",fixed,2026-05-29T15:38:02+00:00,"derived from tracker events/validations","merged with merge commit 1746358ea61ca46d4370fb6f8a92fed53a28f9d2","Derived from rollout tracker events.","merged with merge commit 1746358ea61ca46d4370fb6f8a92fed53a28f9d2",2026-05-29T15:38:02+00:00,"[""1746358ea61ca46d4370fb6f8a92fed53a28f9d2""]","","[""events:699""]",2026-05-29T17:43:11+00:00,2026-05-29T17:43:11+00:00
358,bobatea,glazed_lint,glazed_lint,high,"Glazed CLI policy or analyzer issue",fixed,2026-05-29T01:25:24+00:00,"derived from tracker events/validations","Added glazed-lint + publish-docs.","The Glazed analyzer target, version, package coverage, or allow-path policy did not match the repository's CLI code.","Added glazed-lint + publish-docs.",2026-05-29T01:25:24+00:00,[],"","[""events:478""]",2026-05-29T17:43:11+00:00,2026-05-29T17:43:11+00:00
359,bobatea,golangci_lint,golangci_lint,high,"golangci-lint/static analysis issue",observed,2026-05-29T15:03:23+00:00,"derived from tracker events/validations","Fixed Go 1.26 reflect.Pointer govet findings; CI-version golangci-lint and GOWORK=off go test ./... passed locally.","CI-pinned lint/static analysis exposed findings that needed code cleanup or scoped exception handling.","Fixed Go 1.26 reflect.Pointer govet findings; CI-version golangci-lint and GOWORK=off go test ./... passed locally.",,[],"","[""events:652""]",2026-05-29T17:43:11+00:00,2026-05-29T17:43:11+00:00
360,bobatea,govulncheck,govulncheck,high,"Go vulnerability scan issue",observed,2026-05-29T14:42:14+00:00,"derived from tracker events/validations","Pushed security/lint rollout fix e7709a1c; local govulncheck/gosec or lint validations passed for the touched failure class.","A vulnerable module version or Go toolchain mismatch caused govulncheck to fail.","Pushed security/lint rollout fix e7709a1c; local govulncheck/gosec or lint validations passed for the touched failure class.",,"[""e7709a1c""]","","[""events:641""]",2026-05-29T17:43:11+00:00,2026-05-29T17:43:11+00:00
361,bobatea,local_validation,local_validation,medium,"Local validation issue",fixed,2026-05-29T01:03:01+00:00,"derived from tracker events/validations","pass: GOWORK=off go test ./...","A local validation command failed or warned and required follow-up before progressing.","pass: GOWORK=off go test ./... — ",2026-05-29T01:03:01+00:00,[],"pass: GOWORK=off go test ./...","[""events:423"", ""validations:127""]",2026-05-29T17:43:11+00:00,2026-05-29T17:43:11+00:00
362,bobatea,logcopter_generation,logcopter_generation,high,"Logcopter generation/check issue",fixed,2026-05-29T01:03:01+00:00,"derived from tracker events/validations","pass: make logcopter-check","Generated logcopter files or logcopter generate/check package lists were missing, stale, ignored, or inconsistent.","pass: make logcopter-check — ",2026-05-29T01:03:01+00:00,[],"pass: make logcopter-check","[""events:422"", ""validations:126""]",2026-05-29T17:43:11+00:00,2026-05-29T17:43:11+00:00
363,bobatea,workflow_yaml,workflow_yaml,high,"GitHub workflow structure or main workflow execution issue",fixed,2026-05-29T13:13:21+00:00,"derived from tracker events/validations","P1 pass: repaired malformed push.yml where present and bumped glazed-lint analyzer pin to v1.3.6 where needed.","Workflow steps were malformed, incomplete, or behaved differently on main than the rollout expected.","Verified post-merge main Go/lint/security rollout workflows succeeded; unrelated secret scanning failures ignored.",2026-05-29T15:55:36+00:00,[],"","[""events:541"", ""events:675"", ""events:717"", ""events:732""]",2026-05-29T17:43:11+00:00,2026-05-29T17:43:11+00:00
364,cliopatra,codex_feedback,codex_feedback,medium,"Codex review feedback issue",fixed,2026-05-29T13:47:13+00:00,"derived from tracker events/validations","Triggered Codex review with ggg pr codex-trigger --wait-for-auto 30s.","Current-head Codex review feedback required a follow-up commit or retrigger before readiness.","Triggered Codex review with ggg pr codex-trigger --wait-for-auto 30s.",2026-05-29T13:47:13+00:00,"[""04bb802e""]","","[""events:583"", ""events:600"", ""events:604""]",2026-05-29T17:43:11+00:00,2026-05-29T17:43:11+00:00
